file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\stat\CollectionStatistics.java,org.hibernate.stat.CollectionStatistics,interface,1,3,2,1,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\query\criteria\JpaCteContainer.java,org.hibernate.query.criteria.JpaCteContainer,interface,5,8,3,5,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\dialect\H2DurationIntervalSecondJdbcType.java,org.hibernate.dialect.H2DurationIntervalSecondJdbcType,class,12,13,1,12,6,1,0,2,15,1.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,1,1,0,0,0,1,0,0,52,6,0,0,0,0,0,0,1,0,5,0,2,0,1,30,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\metamodel\model\domain\AbstractManagedType.java,org.hibernate.metamodel.model.domain.AbstractManagedType$InFlightAccessImpl,innerclass,5,5,0,5,7,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,2,0,0,3,0,3,1,0,2,0,0,0,27,4,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\query\sqm\internal\MultiTableInsertQueryPlan.java,org.hibernate.query.sqm.internal.MultiTableInsertQueryPlan,class,5,6,1,5,2,1,0,3,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,3,0,0,14,1,0,0,0,0,0,0,3,0,3,0,0,0,0,22,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\query\criteria\JpaPredicate.java,org.hibernate.query.criteria.JpaPredicate,interface,3,21,18,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\sql\ast\tree\predicate\InListPredicate.java,org.hibernate.sql.ast.tree.predicate.InListPredicate,class,4,9,5,4,9,2,0,3,0,0.3888889,0.6111111,0.7777778,9,0,9,0,0,0,9,0,0,0,2,0,0,2,0,0,2,0,0,33,2,0,0,0,0,0,0,2,0,2,0,0,0,0,24,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\event\service\internal\EventListenerRegistryImpl.java,org.hibernate.event.service.internal.EventListenerRegistryImpl,class,8,10,2,8,21,1,0,20,60,0.8333334,0.035714287,0.035714287,12,0,8,4,0,0,8,0,6,0,2,0,0,2,0,0,2,0,1,157,4,3,4,1,0,10,2,9,4,7,2,0,1,0,44,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\query\sqm\tree\expression\SqmDistinct.java,org.hibernate.query.sqm.tree.expression.SqmDistinct,class,12,13,1,12,7,2,0,8,0,0.16666667,0.6666667,0.6666667,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,27,5,0,1,0,0,1,0,2,0,2,1,0,0,0,25,1,0
C:\Users\draj0.CHANDRIKAV\Downloads\hibernate-orm-main\hibernate-orm-main\hibernate-core\src\main\java\org\hibernate\boot\query\ResultDescriptor.java,org.hibernate.boot.query.ResultDescriptor,interface,2,11,9,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0
